"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.09.2023","97,7648","97,9050","98,3367","97,4246","","-0,14%"
"05.09.2023","97,9050","96,8700","97,9050","96,8700","","1,07%"
"04.09.2023","96,8700","96,0900","96,9349","96,0900","","0,81%"
"01.09.2023","96,0900","96,0250","96,7041","95,8468","","0,07%"
"31.08.2023","96,0250","96,2200","96,6450","95,7018","","-0,20%"
"30.08.2023","96,2200","95,4575","96,2200","95,4575","","0,80%"
"29.08.2023","95,4575","95,3100","96,2570","95,2782","","0,15%"
"28.08.2023","95,3100","95,4175","95,8549","95,0966","","-0,11%"
"25.08.2023","95,4175","94,8650","95,5275","94,5048","","0,58%"
"24.08.2023","94,8650","94,2600","94,8650","94,2285","","0,64%"
"23.08.2023","94,2600","94,3025","94,9618","93,9382","","-0,05%"
"22.08.2023","94,3025","93,6550","94,5395","93,5825","","0,69%"
"21.08.2023","93,6550","93,7550","94,6648","93,0877","","-0,11%"
"18.08.2023","93,7550","93,7725","93,9512","92,6350","","-0,02%"
"17.08.2023","93,7725","94,6650","95,4195","92,5894","","-0,94%"
"16.08.2023","94,6650","97,0900","97,4927","94,3075","","-2,50%"
"15.08.2023","97,0900","97,6625","99,1851","95,1638","","-0,59%"
"14.08.2023","97,6625","99,4300","101,7356","97,3123","","-1,78%"
"11.08.2023","99,4300","97,4575","99,4300","97,4575","","2,02%"
"10.08.2023","97,4575","97,2000","97,8485","96,5125","","0,26%"
"09.08.2023","97,2000","97,1000","98,0478","96,7425","","0,10%"
"08.08.2023","97,1000","95,2750","97,4032","95,2750","","1,92%"
"07.08.2023","95,2750","95,6850","97,0205","95,1341","","-0,43%"
"04.08.2023","95,6850","94,9875","96,2330","94,2018","","0,73%"
"03.08.2023","94,9875","94,1600","94,9875","93,4195","","0,88%"
"02.08.2023","94,1600","92,3300","94,2616","92,0114","","1,98%"
"01.08.2023","92,3300","91,6025","92,4900","91,4490","","0,79%"
"31.07.2023","91,6025","91,7075","92,5983","91,2202","","-0,11%"
"28.07.2023","91,7075","90,5975","91,8182","90,3127","","1,23%"
"27.07.2023","90,5975","90,1550","90,6989","89,7855","","0,49%"
"26.07.2023","90,1550","90,1300","90,4875","89,9389","","0,03%"
"25.07.2023","90,1300","90,5025","90,5025","89,8655","","-0,41%"
"24.07.2023","90,5025","90,9200","91,1178","90,1961","","-0,46%"
"21.07.2023","90,9200","90,2300","91,0145","90,0340","","0,76%"
"20.07.2023","90,2300","91,3975","91,3975","90,2300","","-1,28%"
"19.07.2023","91,3975","90,9000","91,4170","90,8224","","0,55%"
"18.07.2023","90,9000","91,0000","91,1200","90,4764","","-0,11%"
"17.07.2023","91,0000","90,0600","91,0775","90,0600","","1,04%"
"14.07.2023","90,0600","90,1125","90,4033","89,7240","","-0,06%"
"13.07.2023","90,1125","90,8725","91,3068","89,7774","","-0,84%"
"12.07.2023","90,8725","90,3825","90,9073","90,0325","","0,54%"
"11.07.2023","90,3825","90,4150","91,0245","89,8354","","-0,04%"
"10.07.2023","90,4150","91,2500","91,9686","90,3394","","-0,92%"
"07.07.2023","91,2500","92,2975","92,2975","90,9548","","-1,13%"
"06.07.2023","92,2975","91,0000","93,7452","90,7407","","1,43%"
"05.07.2023","91,0000","89,1800","91,1715","89,1800","","2,04%"
"04.07.2023","89,1800","88,7000","90,1590","88,2854","","0,54%"
"03.07.2023","88,7000","89,5500","89,6811","88,3425","","-0,95%"
"30.06.2023","89,5500","87,5700","89,6863","87,3867","","2,26%"
"29.06.2023","87,5700","86,3725","87,5700","86,1084","","1,39%"
"28.06.2023","86,3725","85,0600","86,5179","84,8939","","1,54%"
"27.06.2023","85,0600","85,0875","85,2651","84,5000","","-0,03%"
"26.06.2023","85,0875","84,7000","86,7665","84,2534","","0,46%"
"23.06.2023","84,7000","84,0500","84,8393","83,6478","","0,77%"
"22.06.2023","84,0500","83,9800","84,1091","83,4474","","0,08%"
"21.06.2023","83,9800","84,7850","84,9500","83,6988","","-0,95%"
"20.06.2023","84,7850","84,1425","84,7850","84,0432","","0,76%"
"19.06.2023","84,1425","84,1375","84,5559","83,7451","","0,01%"
"16.06.2023","84,1375","83,7500","84,2392","83,4838","","0,46%"
"15.06.2023","83,7500","84,1650","84,7232","83,3307","","-0,49%"
"14.06.2023","84,1650","84,3000","85,0190","83,7850","","-0,16%"
"13.06.2023","84,3000","82,6350","84,3157","82,6350","","2,01%"
"09.06.2023","82,6350","82,5975","83,0240","82,2650","","0,05%"
"08.06.2023","82,5975","81,9800","82,7439","81,8241","","0,75%"
"07.06.2023","81,9800","81,4025","81,9800","81,3075","","0,71%"
"06.06.2023","81,4025","80,9525","81,6457","80,8928","","0,56%"
"05.06.2023","80,9525","81,5000","81,9100","80,7533","","-0,67%"
"02.06.2023","81,5000","80,7575","81,5115","80,6331","","0,92%"
"01.06.2023","80,7575","81,1025","81,1665","80,4990","","-0,43%"
"31.05.2023","81,1025","81,1500","81,2771","80,8233","","-0,06%"
"30.05.2023","81,1500","80,8300","81,3508","80,2113","","0,40%"
"29.05.2023","80,8300","80,0600","80,8826","79,9074","","0,96%"
"26.05.2023","80,0600","80,1675","80,2450","79,8262","","-0,13%"
"25.05.2023","80,1675","80,1475","80,3325","79,7440","","0,02%"
"24.05.2023","80,1475","80,1350","80,3300","79,8659","","0,02%"
"23.05.2023","80,1350","80,1500","80,4673","79,8405","","-0,02%"
"22.05.2023","80,1500","80,0000","80,1500","79,7870","","0,19%"
"19.05.2023","80,0000","80,2225","80,5665","79,6575","","-0,28%"
"18.05.2023","80,2225","79,8625","80,4712","79,4980","","0,45%"
"17.05.2023","79,8625","80,3950","81,0500","79,7858","","-0,66%"
"16.05.2023","80,3950","79,1525","80,5225","79,1525","","1,57%"
"15.05.2023","79,1525","77,9200","79,4978","77,8825","","1,58%"
"12.05.2023","77,9200","76,9000","77,9793","76,2400","","1,33%"
"11.05.2023","76,9000","76,0575","77,2017","75,2510","","1,11%"
"10.05.2023","76,0575","78,1875","78,1875","75,8770","","-2,72%"
"08.05.2023","78,1875","77,3800","78,4860","76,6700","","1,04%"
"05.05.2023","77,3800","78,0500","78,2116","76,3419","","-0,86%"
"04.05.2023","78,0500","79,2050","79,4300","77,7300","","-1,46%"
"03.05.2023","79,2050","79,6200","80,0014","78,9280","","-0,52%"
"02.05.2023","79,6200","80,2500","80,5883","79,5907","","-0,79%"
"28.04.2023","80,2500","81,3325","81,6267","79,0745","","-1,33%"
"27.04.2023","81,3325","81,6175","81,9867","81,1873","","-0,35%"
"26.04.2023","81,6211","81,6175","81,7392","81,4957","","0,00%"
"25.04.2023","81,6175","81,3300","81,6798","81,1891","","0,35%"
"24.04.2023","81,3300","81,7000","81,8250","80,8718","","-0,45%"
"21.04.2023","81,7000","81,5550","81,7851","81,2685","","0,18%"
"20.04.2023","81,5550","81,8975","81,8975","81,2974","","-0,42%"
"19.04.2023","81,8975","81,4500","81,9012","81,4500","","0,55%"
"18.04.2023","81,4500","81,4025","81,9180","81,2403","","0,06%"
"17.04.2023","81,4025","81,7900","82,2000","81,1904","","-0,47%"
"14.04.2023","81,7900","81,4000","81,9050","81,2068","","0,48%"
"13.04.2023","81,4000","81,9500","82,0650","81,2838","","-0,67%"
"12.04.2023","81,9500","81,9650","82,3915","81,8105","","-0,02%"
"11.04.2023","81,9650","81,6125","82,5355","81,6125","","0,43%"
"10.04.2023","81,6125","81,1275","82,0957","80,9305","","0,60%"
"07.04.2023","81,1275","81,3750","83,4458","80,7848","","-0,30%"
"06.04.2023","81,3750","79,8350","81,3938","79,7525","","1,93%"
"05.04.2023","79,8350","79,5200","79,8558","79,2021","","0,40%"
"04.04.2023","79,5200","78,7400","79,5670","78,7360","","0,99%"
"03.04.2023","78,7400","77,5975","78,8300","77,3763","","1,47%"
"31.03.2023","77,5975","77,0800","77,9058","76,9227","","0,67%"
"30.03.2023","77,0800","77,1550","77,3023","76,8978","","-0,10%"
"29.03.2023","77,1550","76,9000","77,2000","76,6865","","0,33%"
"28.03.2023","76,9000","76,6800","77,0200","76,3272","","0,29%"
"27.03.2023","76,6800","77,0750","77,2142","76,4442","","-0,51%"
"24.03.2023","77,0750","76,0000","77,1211","76,0000","","1,41%"
"23.03.2023","76,0000","77,0575","77,0575","75,7403","","-1,37%"
"22.03.2023","77,0575","76,6600","77,0915","76,6600","","0,52%"
"21.03.2023","76,6600","77,1700","77,3062","76,6300","","-0,66%"
"20.03.2023","77,1700","77,0600","77,7475","76,5646","","0,14%"
"17.03.2023","77,0600","76,4000","77,1398","76,2675","","0,86%"
"16.03.2023","76,4000","75,9850","77,2898","75,9550","","0,55%"
"15.03.2023","75,9850","75,3200","76,1975","75,1800","","0,88%"
"14.03.2023","75,3200","75,0000","75,4848","74,9727","","0,43%"
"13.03.2023","75,0000","76,1000","76,1000","74,8906","","-1,45%"
"10.03.2023","76,1000","75,8450","76,1023","75,7950","","0,34%"
"09.03.2023","75,8450","76,0225","76,1650","75,6121","","-0,23%"
"07.03.2023","76,0225","75,4450","76,1022","75,2405","","0,77%"
"06.03.2023","75,4450","75,6325","75,8785","75,2528","","-0,25%"
"03.03.2023","75,6325","75,3175","75,7500","75,3000","","0,42%"
"02.03.2023","75,3175","75,1500","75,6549","75,1000","","0,22%"
"01.03.2023","75,1500","74,9700","75,4090","74,8825","","0,24%"
"28.02.2023","74,9700","74,6025","75,2417","73,9995","","0,49%"
"27.02.2023","74,6025","76,1300","76,4350","74,5615","","-2,01%"
"24.02.2023","76,1300","75,0000","76,3333","74,9515","","1,51%"
"22.02.2023","75,0000","75,0475","75,2175","74,3786","","-0,06%"
"21.02.2023","75,0475","74,5000","75,1298","74,4775","","0,73%"
"20.02.2023","74,5000","74,2900","74,8575","73,6030","","0,28%"
"17.02.2023","74,2900","74,8550","75,2445","73,9569","","-0,75%"
"16.02.2023","74,8550","74,5725","74,8878","74,5338","","0,38%"
"15.02.2023","74,5725","73,8000","74,6423","73,7606","","1,05%"
"14.02.2023","73,8000","73,8250","73,9813","73,0566","","-0,03%"
"13.02.2023","73,8250","73,3900","73,8677","73,2064","","0,59%"
"10.02.2023","73,3900","73,0000","73,3915","72,5439","","0,53%"
"09.02.2023","73,0000","72,3025","73,3815","72,3025","","0,96%"
"08.02.2023","72,3025","71,1500","72,3487","70,9218","","1,62%"
"07.02.2023","71,1500","70,9500","71,2275","70,7279","","0,28%"
"06.02.2023","70,9500","70,6000","71,1230","70,4465","","0,50%"
"03.02.2023","70,6000","70,4550","70,7910","70,2553","","0,21%"
"02.02.2023","70,4550","70,1975","70,4724","69,8076","","0,37%"
"01.02.2023","70,1975","69,8200","70,4055","69,8200","","0,54%"
"31.01.2023","69,8200","70,4050","70,8075","69,7975","","-0,83%"
"30.01.2023","70,4050","69,4600","70,4050","69,3369","","1,36%"
"27.01.2023","69,4600","69,2650","69,5218","69,2075","","0,28%"
"26.01.2023","69,2650","69,3050","69,7000","68,8293","","-0,06%"
"25.01.2023","69,3050","69,0000","69,3050","68,7838","","0,44%"
"24.01.2023","69,0000","68,9250","69,1529","68,6653","","0,11%"
"23.01.2023","68,9250","68,8300","68,9384","68,4892","","0,14%"
"20.01.2023","68,8300","68,8000","68,9388","68,5173","","0,04%"
"19.01.2023","68,8000","68,7475","69,1108","68,7251","","0,08%"
"18.01.2023","68,7475","69,1500","69,7518","68,7093","","-0,58%"
"17.01.2023","69,1500","68,4300","69,3635","68,3305","","1,05%"
"16.01.2023","68,4300","68,7875","69,1300","67,7973","","-0,52%"
"13.01.2023","68,7875","67,7575","68,8976","67,0998","","1,52%"
"12.01.2023","67,7575","68,7325","68,9675","67,5551","","-1,42%"
"11.01.2023","68,7325","69,8000","70,3800","68,3047","","-1,53%"
"10.01.2023","69,8000","69,9900","70,1041","69,2570","","-0,27%"
"09.01.2023","69,9900","72,1225","72,2475","69,3477","","-2,96%"
"06.01.2023","72,1225","72,1800","72,4513","71,5293","","-0,08%"
"05.01.2023","72,1800","72,0000","72,2401","71,0625","","0,25%"
"04.01.2023","72,0000","71,1375","72,1262","71,0284","","1,21%"
"03.01.2023","71,1375","69,9000","71,4645","69,7025","","1,77%"
"30.12.2022","69,9000","72,1750","72,5400","68,6832","","-3,15%"
"29.12.2022","72,1750","72,1900","72,8524","70,9903","","-0,02%"
"28.12.2022","72,1900","70,4000","72,2301","70,4000","","2,54%"
"27.12.2022","70,4000","69,2900","71,3950","68,3070","","1,60%"
"26.12.2022","69,2900","70,2000","70,3063","67,9992","","-1,30%"
"23.12.2022","70,2000","68,9500","70,2979","67,5145","","1,81%"
"22.12.2022","68,9500","70,9950","72,4985","68,6297","","-2,88%"
"21.12.2022","70,9950","68,8750","70,9950","68,8750","","3,08%"
"20.12.2022","68,8750","67,7200","69,4175","67,2050","","1,71%"
"19.12.2022","67,7200","64,6500","68,3453","64,6500","","4,75%"
"16.12.2022","64,6500","64,3525","64,7940","64,3525","","0,46%"
"15.12.2022","64,3525","63,9950","64,9450","63,8690","","0,56%"
"14.12.2022","63,9950","62,8500","64,1521","62,8500","","1,82%"
"13.12.2022","62,8500","62,8000","63,3098","62,8000","","0,08%"
"12.12.2022","62,8000","62,4300","63,0396","62,4030","","0,59%"
"09.12.2022","62,4300","62,7725","62,8500","62,2308","","-0,55%"
"08.12.2022","62,7725","62,7500","63,0425","62,3190","","0,04%"
"07.12.2022","62,7500","63,0850","63,3230","62,7104","","-0,53%"
"06.12.2022","63,0850","62,3500","63,2792","62,3500","","1,18%"
"05.12.2022","62,3500","62,0000","62,5468","61,6159","","0,56%"
"02.12.2022","62,0000","61,4900","62,0436","61,4000","","0,83%"
"01.12.2022","61,4900","60,9900","61,4975","60,8200","","0,82%"
"30.11.2022","60,9900","61,0225","61,0645","60,7048","","-0,05%"
"29.11.2022","61,0225","61,2275","61,3702","60,7775","","-0,33%"
"28.11.2022","61,2275","60,5025","61,2480","60,5025","","1,20%"
"25.11.2022","60,5025","60,6725","60,7163","60,3939","","-0,28%"
"24.11.2022","60,6725","60,7000","60,8075","60,3118","","-0,05%"
"23.11.2022","60,7000","60,6825","60,8072","60,3666","","0,03%"
"22.11.2022","60,6825","60,8500","61,0275","60,4249","","-0,28%"
"21.11.2022","60,8500","60,4025","60,9844","60,4025","","0,74%"
"18.11.2022","60,4025","60,5300","60,7400","60,2806","","-0,21%"
"17.11.2022","60,5300","60,3500","60,5475","60,3181","","0,30%"
"16.11.2022","60,3500","60,4000","60,6760","60,0444","","-0,08%"
"15.11.2022","60,4000","60,5500","60,6900","60,1034","","-0,25%"
"14.11.2022","60,5500","60,5375","60,6823","60,2168","","0,02%"
"11.11.2022","60,5375","60,5300","60,8521","59,9835","","0,01%"
"10.11.2022","60,5300","61,3100","61,8225","60,3753","","-1,27%"
"09.11.2022","61,3100","60,9925","61,3999","60,8250","","0,52%"
"08.11.2022","60,9925","61,0000","61,2500","60,7183","","-0,01%"
"07.11.2022","61,0000","62,1000","62,1175","60,9166","","-1,77%"
"03.11.2022","62,1000","61,8000","62,3590","61,8000","","0,49%"
"02.11.2022","61,8000","61,2375","61,8000","61,2375","","0,92%"
"01.11.2022","61,2375","61,4775","61,8200","61,0954","","-0,39%"
"31.10.2022","61,4775","61,5200","61,8693","61,2993","","-0,07%"
"28.10.2022","61,5200","61,7250","61,8275","61,2838","","-0,33%"
"27.10.2022","61,7250","61,7500","61,8600","61,1660","","-0,04%"
"26.10.2022","61,7500","61,4875","61,9400","61,1405","","0,43%"
"25.10.2022","61,4875","61,1850","61,5965","61,1698","","0,49%"
"24.10.2022","61,1850","61,2900","61,5775","60,9083","","-0,17%"
"21.10.2022","61,2900","61,4000","61,6950","60,7805","","-0,18%"
"20.10.2022","61,4000","61,7350","62,0484","61,1713","","-0,54%"
"19.10.2022","61,7350","61,5750","61,8785","61,2025","","0,26%"
"18.10.2022","61,5750","61,6500","62,3000","61,4728","","-0,12%"
"17.10.2022","61,6500","62,1075","62,5700","61,4185","","-0,74%"
"14.10.2022","62,1075","63,6300","63,7123","61,7038","","-2,39%"
"13.10.2022","63,6300","64,4200","64,4200","62,9249","","-1,23%"
"12.10.2022","64,4200","63,6600","64,9150","63,2050","","1,19%"
"11.10.2022","63,6600","62,6900","64,4728","62,6900","","1,55%"
"10.10.2022","62,6900","61,0025","62,9785","61,0025","","2,77%"
"07.10.2022","61,0025","60,9025","61,6565","60,4000","","0,16%"
"06.10.2022","60,9025","60,1725","60,9580","59,6699","","1,21%"
"05.10.2022","60,1725","58,9500","60,3804","57,7076","","2,07%"
"04.10.2022","58,9500","58,8600","59,3972","58,4000","","0,15%"
"03.10.2022","58,8600","58,4500","59,6249","56,9074","","0,70%"
"30.09.2022","58,4500","57,2100","58,5885","53,2875","","2,17%"
"29.09.2022","57,2100","57,5400","58,1412","56,5970","","-0,57%"
"28.09.2022","57,5400","58,4575","58,8925","57,3346","","-1,57%"
"27.09.2022","58,4575","58,3950","58,9375","57,9148","","0,11%"
"26.09.2022","58,3950","57,9200","58,9225","57,3025","","0,82%"
"23.09.2022","57,9200","58,8400","60,1500","56,6899","","-1,56%"
"22.09.2022","58,8400","60,6900","61,1550","58,5745","","-3,05%"
"21.09.2022","60,6900","60,6000","62,5799","60,2901","","0,15%"
"20.09.2022","60,6000","60,1600","60,6000","59,9071","","0,73%"
"19.09.2022","60,1600","60,2750","60,5989","59,9634","","-0,19%"
"16.09.2022","60,2750","59,8000","60,2959","59,8000","","0,79%"
"15.09.2022","59,8000","59,8850","60,2469","59,4888","","-0,14%"
"14.09.2022","59,8850","59,9000","60,1035","59,5775","","-0,03%"
"13.09.2022","59,9000","60,2400","60,5117","59,6593","","-0,56%"
"12.09.2022","60,2400","60,7339","60,7428","60,1528","","-0,59%"
"09.09.2022","60,6000","60,7300","60,7300","60,2903","","-0,21%"
"08.09.2022","60,7300","60,7900","61,0966","60,5256","","-0,10%"
"07.09.2022","60,7900","61,2350","61,5155","60,7765","","-0,73%"
"06.09.2022","61,2350","60,8700","61,2350","60,6213","","0,60%"
